id,price
1100380,0
1130919,0
15253,0
58506,0
1060530,0
1130697,0
1139616,0
1142027,0
71866,0
75702,0
87709,0
105938,0
1145571,0
1168005,0
1181214,0
1218594,0
1276799,0
153444,0
219030,0
264925,0
1317388,0
1321603,0
1394990,0
276617,0
292905,0
340563,0
366856,0
1408891,0
1456826,0
1477506,0
1484181,0
379498,0
410073,0
1500360,0
1521151,0
1521901,0
1548191,0
466383,0
472566,0
479359,0
1598143,0
1641560,0
1668941,0
499631,0
583321,0
594776,0
619474,0
1685109,0
1704477,0
1747259,0
659009,0
677230,0
701670,0
1763514,0
1769186,0
1774193,0
1808700,0
725235,0
731529,0
1837068,0
1857470,0
1869653,0
751568,0
765765,0
771147,0
1886610,0
1907162,0
1910165,0
1927075,0
783928,0
806337,0
1941785,0
1957332,0
1963395,0
1968430,0
1979812,0
820678,0
833232,0
837511,0
1979960,0
1996254,0
2012777,0
846649,0
847003,0
866422,0
873817,0
885875,0
2047577,0
2062003,0
2077065,0
2079709,0
894233,0
910871,0
915054,0
2083539,0
2105711,0
2160836,0
2188156,0
941603,0
948716,0
1018623,0
2774803,0
2218225,0
2285490,0
2796779,0
2858754,0
2291780,0
2299737,0
2316066,0
2328016,0
2392859,0
2899408,0
2920284,0
2937696,0
2396968,0
2434101,0
2448611,0
2468217,0
2965688,0
3013026,0
3042637,0
3115490,0
2511345,0
2546323,0
2547558,0
3126723,0
3197590,0
3208831,0
2608366,0
2672392,0
3209018,0
3220450,0
3272050,0
2686405,0
2694251,0
2703494,0
2749926,0
3285343,0
3296812,0
4185909,0
4188997,0
4199110,0
4207786,0
3305263,0
3363195,0
3374881,0
3407081,0
4236007,0
4251796,0
4253843,0
3425736,0
3479862,0
3489739,0
4281477,0
4298067,0
4360291,0
4371723,0
3513529,0
3518136,0
3534385,0
3555199,0
4379780,0
4420479,0
4438835,0
4451610,0
3608686,0
3715176,0
4465114,0
4471166,0
4502957,0
3817911,0
3821728,0
4512300,0
4521519,0
4552083,0
4560057,0
3948647,0
3978880,0
3989395,0
4008182,0
4561042,0
4571075,0
4590307,0
4034847,0
4076976,0
4083094,0
4617156,0
4663535,0
4112679,0
4145041,0
4167238,0
4680982,0
4702361,0
4709805,0
4968641,0
4969944,0
5024426,0
4755217,0
4768694,0
4787478,0
4803813,0
5052611,0
5128349,0
5163979,0
4841999,0
4857871,0
4886370,0
4916502,0
5183296,0
5193493,0
5196011,0
4927328,0
6226394,0
5203848,0
5310960,0
5357073,0
6264596,0
6277850,0
6337820,0
6349130,0
5387039,0
5406141,0
5435721,0
6362810,0
6381575,0
6395363,0
6426630,0
6437651,0
5473593,0
5491060,0
5503008,0
6442023,0
6485882,0
6518475,0
5551123,0
5572652,0
5606669,0
5609925,0
5622326,0
6534880,0
6575878,0
6590094,0
6660591,0
5652283,0
5684830,0
6661053,0
6696037,0
6718556,0
6788254,0
5685025,0
5733370,0
5739080,0
6835883,0
6853218,0
6855050,0
6869342,0
5785549,0
6871295,0
6886076,0
6890621,0
6901600,0
6925526,0
5893273,0
5895126,0
5932798,0
6975874,0
6979968,0
7006523,0
7038486,0
5960077,0
5981263,0
5992815,0
5999221,0
7075458,0
7118281,0
7155389,0
7168362,0
6007664,0
6020536,0
6092940,0
6098223,0
7211024,0
7228713,0
7294213,0
7353616,0
7483184,0
7506429,0
7531456,0
7548377,0
7404524,0
8869697,0
7549109,0
7581665,0
7586506,0
7601951,0
7652191,0
8905714,0
8942973,0
8977590,0
7665921,0
7712099,0
7717845,0
7846383,0
8994288,0
8997080,0
9017809,0
9032500,0
7944819,0
7986721,0
8025015,0
9064795,0
9067259,0
9080393,0
8071786,0
8089890,0
8121226,0
8193171,0
9136716,0
9202266,0
9224272,0
9240361,0
8196539,0
8212723,0
9242190,0
9262301,0
9314553,0
8282644,0
9322790,0
9333756,0
9352316,0
9369170,0
8316449,0
8317766,0
8356193,0
8371694,0
9415438,0
9438445,0
9475599,0
8371981,0
8410964,0
9494426,0
9514731,0
9532775,0
9533906,0
8477051,0
8508270,0
9553298,0
9566883,0
9593309,0
9602676,0
8520972,0
8528330,0
9634655,0
9634963,0
9669025,0
8558507,0
8575021,0
8639646,0
8673910,0
8705622,0
9685901,0
9697067,0
9702491,0
9717866,0
8740711,0
8767570,0
8815875,0
